objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
,,,,,,,,,,,,,,,,
col002_oc_1,"
col002_ocminutes_1924.pdf",Occident Club Meeting Minutes 1924,Meridian Occident Club,1924,"June 19, 1924: Occident Club formed <br>
July 17, 1924: Club bylaws adopted; vote on Occident Club name; committee subjects and their members selected<br>
September 6, 1924: Traveling library opening date and location; committee reports; vacation photos shared and songs sung; deadline for charter members extended<br>
October 4, 1924: Traveling library at Songer Pharmacy; Federation of Women's Clubs; supplies purchased; piano performances<br>
November 1, 1924: Library to secure more books; ""Indian"" music program; poetry of Kipling read<br>
December 6, 1924: Treasury report; new library books to arrive; money paid to M.E. Church for building use; Girl Reserves speak; program on Norway",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_2,col002_ocminutes_1925.pdf,Occident Club Meeting Minutes 1925,Meridian Occident Club,1925,"January 3, 1925: Committee reports; Italian culture discussion; piano solos performed
February 7, 1925: Village Improvement Committee member appointments; Egyptian history program
March 7, 1925: Meridian City Hall room obtained for traveling library; Irish culture program 
April 4, 1925: Occident Club accepted into the District's Federation of Women's Clubs with club's delegates selected; Occident Club election bylaws reread; Manual Training Boys of the High School to make bookshelves; Australia the topic of day's program 
May 2, 1925: Library Committee to hold a public Silver Tea event to bring in book donations; Committee made to plan club birthday party for first anniversary; ballot and election of new club officers; treasurer report on finances; Club discussion on Iceland
May 19, 1925: Federation of Women's Clubs District President visits for special meeting to address the club; work of the Anti-Tuberculosis Association discussed; vocal solos performed 
June 19, 1925: Occident Club anniversary celebrated with picnic at home of Nina Egbert; history of club's first year read and inserted into the minutes; Library given money for juvenile books; club secretary elected; club president appoints newly formed standing committees  
May 26, 1925: Report on the Library Tea and book shower benefit from May 26, 1925
September 1, 1925: Occident Club members for the forthcoming year, September 1925-1926
September 1, 1925: Club out of debt; Library receives two new cases of books; about 200 books loaned in each of past three months; children's books greatly needed; fundraiser for public drinking fountain; Mrs. Barton, past president of the Columbian Club of Boise speaks; a solo performed
October 2, 1925: Public invited to meeting for a violin solo and a talk on political conditions in China with accompanying slides 
November 7, 1925: Mrs. Smith and Mrs. Adkinson speak on ""Try Idaho First, Buy Idaho First,"" with each speaker showcasing manufactured Idaho products; Refreshments from Owyhee Candy Co.; Discussion of the Girl Reserve work 
December 5, 1925: Each member to donate book to library for Christmas season; Complete set of Louise Alcott's books donated to library; Girl Reserve work report; Mrs. Culison speaks on her trip around the world; new year's resolution to focus on what Idaho does for ""defective children"" ",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1925, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_3,col002_ocminutes_1926.pdf,Occident Club Meeting Minutes 1926,Meridian Occident Club,1926,"January 3, 1926: Club votes to give money to Children's Home in Boise; committee appointed to organize February library drive; paper presented on ""What Idaho does for her Defective Children"" and later discussed
February 6, 1926: Club ready for Feb. 19th library drive; library drive entertainment discussed; library report shows about 100 books loaned per week; discussion about joining State Federation of Clubs; paper on teaching patriotism to Children 
March 6, 1926: Treasurer's report; Mrs. Miller donates children's books; attempt to join State Federation of Women's Clubs failed as O.C. was too young; agree to pay dues to dues to District Federation of Women's Clubs; Health Census committee appointed; piano solo; book report; report on ""America's Japanese problem"" 
April 3, 1926: Election ballots passed out and filled for new officers; expenses discussed; program on flowers; flowers exchanged among all the members
May 1, 1926: Motion passed to present Meridian with a new drinking fountain; more books than ever before being checked out; election returns provided; new club officers announced; Mrs. Vera Miller to be president replacing Marion Clelen (1924-26); auditing committee appointed for book transition to new officers; Mrs. Yaggy and Mrs. French selected as delegates to District Federation of Women's Clubs (May 11-13, 1926); program title ""Idaho Laws affecting Women & Children"" 
Undated: Club membership list for the next club year (September 1926-27) given; meeting turned over to President Miller; Miller presents new committee assignments (committee name and their members provided in minutes)
June 11, 1926: Picnic to honor club's second birthday; report from May's Federation meeting; Library report--Miss Gifford donates 35 books in past year; others listed who donated books; reports from each committee; book review for ""God's Step Children"" by Sarah Gertrude Millin presented
July 1, 1926: Auditing committee reports on book audit--books are correct; club asked to assist as hostesses at May 1927 District Federation of Women's clubs meeting; Boise Cooperative Creamery Co. donates ice cream to club; motion passed for club to buy a U.S. flag; 
August 5, 1926: Call for library book suggestions; Flag obtained by Vera Miller's husband; Mrs. Gregory presents paper on ""What Children should Read"" 
September 2, 1926: Town Beautiful Committee announces flower and vegetable show at local grade school; motion passed for new treasurer account book; motion passed to purchase gift for Mrs. Clelan, former club president, before her Seattle move; motion passed to give Eleanor Yaggy $10 in appreciation of library work and to aid in her second year at University of Idaho; talk on Girl Reserve work
October 3, 1926: Flower and vegetable show report; treasurer report of $31.28 in Treasury; Library report--1366 books given out in past four months; assistant librarian requested for afternoons; november club meeting to be a book donation shower; music performed by members
November 6, 1926: Program held first--Mr. Adkison discusses ""Home Industries""; Home Industries week established for each member to sell a home product at Songer's Pharmacy, part of money raised to State Endowment Fund; committee reports; book review on ""Blue Window"" presented
December 4, 1926: Motion passed to place money in the Home Building Fund; Treasurer reports balance of $56.33; motion passed to donate $5 to Children's Home; Home Products sale report--$9.50 made with part given to State Endowment Fund and part to library; Report on books given in past few months; the program consisted of discussion on proposed bills for the legislature ",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1926, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_4,col002_ocminutes_1927.pdf,Occident Club Meeting Minutes 1927,Meridian Occident Club,1927,"January 8, 1927: Amendment committee proposals; incomplete minutes
February 5, 1927: Treasurer report; hostess assignments for District Federation meeting; Silver Tea set for April meeting; motion passed to adopted yellow and white as Occident Club colors; club to put on dance with proceeds to go to building Meridian park; library drive committee appointed; motion passed to give Boy Scouts of America $5 per Meridian Chamber of Commerce request; club determines only fair to give Campfire Girls $5; program on musical (American) composers and discussion on American folk songs; new song ""Idaho"" sung
March 5, 1927: Library report--811 volumes in library, 355 borrower cards used; library committee's three fundraisers for March--waffle supper, a card party, and dance; club to also organize a Miss Meridian; $93 dollars made in February park fundraiser; village improvement committee to find mark location; by-law amendment approved allowing President to fill vacancies in offices; program on dyes; Mrs. E.C. Egbert provides examples of work done with dyes on different materials; Mrs. French of Legislative committee gives survey of ""Eugenic Law"" 
April 2, 1927: Meeting not held in member home but M.E. Church; $52.70 made from waffle supper and card party, but dance postponed; Public Welfare Department desires health member to bring health topic to club once a month; District Federation of Women's Clubs discussion; Silver offering postponed; motion passed to draft ""Resolution of Condolence"" to the family of Jeannattie J. Grice on her passing; program talk on gardening; 
May 7, 1927: Library committee reports a number of books donated, $42,20 made from the dance and $52.90 for the Miss Meridian; continued discussion of District Federation of Women's Club convention; club president appoints committee for June picnic; list of officers elected for the next club year-Grace;  Neal to be president; program with Mrs. Hall, president of the Columbian Club;  paper on ""discussion of supervised play for children during vacation""; motion made to give silver offerings collected that meeting to flood suffers, and the summer offerings to go to flower and vegetable show
June 23, 1927: Annual picnic dinner and installation of officers at the Egbert home; Miss Huel from Topeka Kansas discussed the club sponsoring the Chautauqua next year, but club rejected it; $135 dollars raised for flood sufferers; motion passed for Village Improvement Committee and building Committee to be merged into one committee; President Neal assigns new committee members across committees; Thanks given to outgoing club president, Mrs. Miller
July 1927: Money raised for park to be put aside, used for no other purpose; motion to give thank to Red Cross Committee for work with flood sufferers; Mrs. Stalker gives talk on visit to State convention of Federation of Women's Clubs; dances and readings performed
August 4, 1927: Motion passed to thank Caldwell Creamery for donation of ice cream for Girl Reserves party;  Different organizational matters discussed and motions taken, many losing acceptance
September 1, 1927: Bills presented for club yearbooks and banner; noted that any person responsible for a meeting program that cannot attend get someone to fill in; vote of thanks given to club program committee; $7.50 raised for the building fund; magazine subscriptions discussed; Mrs. Cobbs provides book review of ""Quo Vadis""
October 1, 1927: Letter read from Mrs. Miller, asking to be relieved from chairman duties in the Program Committee, Mrs. Curtis to take over; Business Women's Club at Boise asks club to help in state Beauty contest, finding and entering a contestant from Meridian, task accepted; Resolutions adopted in the State Federation of Women's Clubs discussed; Building committee reports plans for food stand at fair; Town Beautiful Committee reports on grade school fruit and vegetable exhibit; Rev. Luscombe gave talk on ""Holding on to the youth of today."" 
November 5, 1927: President absent, VP Mrs. French presides; thank you letter read for help in beauty contest; motion made to give 10 cents per capita to the Endowment Fund; motion passes to give $35 to library fund previously borrowed from it; Rev. Luscombe and Mrs. Laubaugh give talks on Red Cross work; motion carried for many of the women to help support the Red Cross; discuss on farm products in Idaho
December 3, 1927: Donations made to both Girl Reserves and Children's Home of Boise in amount of $7.50 each; National Kindergarten Association letter read urging club to circulate a petition for a kindergarten to be started in Meridian, after discussion no action was taken a present time; club president appoints committee to determine interest in starting a club magazine; program of singing and a talk by Mrs. Barton, District Federation of Women's Clubs president ",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1927, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_5,col002_ocminutes_1928.pdf,Occident Club Meeting Minutes 1928,Meridian Occident Club,1928,"January 7, 1928: V.P. French presides; Mrs. Cairns, chairman of Library Drive committee wants another committee member to act as chairman; $9 made at a Halloween Party previous year put in building fund; goa; for all members to bring in new club members; program portions-Mr. Cobbs addresses group on topic of international peace and Miss Louise Keeley, district secretary of Girl Reserves, talked about G.R. work
February 4, 1928: Motion carries to resubscribe to ""General Federation News,"" Library report-library needs more voluntary help on library days during after school rush; Library report highlights book ""The American Government by Frederic J. Haskin; Building Committee fund increases to $83; plans to earn more money discussed; program subject ""The Effect of Immigration on American History,""; Mrs. J.R. Middleton from the Americanization School in Boise talked on how they help ""foreigners to become Americanized,"" and help them prepare for citizenship; meeting finished with music and reading
March 3, 1928: Letter response of club inquiry on what State Endowment Funds are used for with Federation of Women's Clubs; library reports 1000 volumes at the current date and $18.21 in the bank; boys from the High School made two new cases for books at library; discussion on whether to sponsor a school exhibit in the Fall; Mr. John Hedges offers club deal to sell picture show tickets, and he would give club half of the money from tickets sold-proposition of the offer left to the building committee's decision; library dollars were turned in by members collecting $28.55; meeting concluded with a program on music
April 7, 1928: Library financial reports presented; motion passed to obtain a levy from city for ""1/2 mill"" ($500) from city taxes to help library upkeep; Mrs Maleer, French, and Beam assigned to look into getting city funding; Town Beautiful Committee leads discussion on ways to help clean up the town, with a prize for best kept block considered; mother-daughter banquet for April 17th with tickets from Girl Reserves discussed; program on ornamental gardening 
May 5, 1928: Treasurer report; Occident Club voted to propose a resolution at the Federation of Women's Club convention to work on getting women off of cigarette ads; 60 new books ordered for the library; Town Beautiful committee visited and planed exhibit for the grade school; motion to try to turn the library over to the city and get ""one mill"" ($1000) from the city taxes; officers for the next year announced, with Mrs. Mary French as president; delegation to Federation convention appointed; meeting finished with two readings
June 5, 1928: Annual club picnic; club dues to the Second District Federation; Meridian city says that club must look for building for library, then report to city council--the council would consider a ""one mill allowance"" for library; club resolution accepted at the Federation convention to influence women to be removed from tobacco ads; individuals appointed to audit the books; motion passed to try to obtain books from the Carnegie Endowment Fund; President French appointed the new committee member layouts for the next year
July 6, 1928: No committee reports; motion to join Meridian Chamber of Commerce in sponsoring the painting of the bandstand; committee appointed to arrange for a political discussion next meeting (a Republican, Democrat, and Progressive to be represented); the singing of ""America the Beautiful"" followed by an address by Mr. Lockwood from the Boise Chamber of Commerce; list of Occident Club members for the 1928-1929 year provided at end of minutes
August 4, 1928: Visiting talk on ""Preparing the Child for School""; Library committee reports that all money is spent; bandstand committee collected $12.50, and club donates an additional $5; two songs were performed
September 1, 1928: Meeting began with singing of ""America the Beautiful""; General club fund has $19.60; $13.95 raised to paint the bandstand; club adds $6 to the bandstand fund; decision on movie ticket sale proposition--the Library Committee to help with picture shows to raise funds; club members have repaired 57 volumes from the library and money needed; August saw 464 books checked out; 
October 6, 1928:  Building Committee announces a Halloween dance; Library committee raised $35 in september; report on fruit and vegetable exhibit at the grade school; yearbooks to be printed with each member buying their own book; next meeting to be held in M.E. Church basement; Democratic platform discussed by Mrs. Hayes and attorney Kroeger; Mrs. Koger reported on progressives; the Republican speaker did not come; 
November 3, 1928: Meeting began with singing of ""America""; letter read from State Federation on the renunciation of war, and the club passed a motion to endorse and return the letter; Mrs. Carter resigned as newspaper correspondent; report that all members were registered to vote at election with amendments to vote on explained; Girl Reserve Committee collected $67.75; Mrs. Mateer reported 1205 book in library; Mr. Luscombe asks for a committee from club to help in Red Cross drive between Armistice Day and Thanksgiving, and an assignment made
December 1, 1928: America the Beautiful sung; library putting on show in Meridian and would get half of the proceeds; Library has $19.36 in the bank and 439 volumes given out in previous month; Civic Welfare and Village Improvement Committee ask to counsel with Village Board at next meeting to consider automobile speed; American Citizenship Committee asked to have members report on their votes cast last election; Red Cross Committee says Rev. Luscombe collected $17, while the club committee collected $60.75; motion passed to give $10 to Children's Home in Boise for Christmas donation; program talk on tuberculosis by a doctor from the Veteran's Hospital",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1928, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_6,col002_ocminutes_1929.pdf,Occident Club Meeting Minutes 1929,Meridian Occident Club,1929,"January 10, 1929: America the Beautiful sung; Treasurer's report; Library committee receives $37.75 in raised money from school, now $49.69 in library fund; library has 686 borrower cards out and 700 volumes given out previous month; concern on speed of automobiles in Meridian was discussed by the Meridian board; Child Welfare Committee raised $30.26 from Christmas seal sale; Legislative committee discusses several important bills to come before Legislature; moved to allocate funds to Christmas seal fund and yearbook purchases
February 2, 1929: America the Beautiful sung; Club votes to endorse Tuberculosis Resolutions for the State Hospital that are going through the current state Legislature, will send endorsement to political leaders; club treasury has $94.41; Park committee has yet to find a favorable park location; 136 books checked out on the previous library day; bills of interest in State Legislature noted, including women's work, school, and welfare work; discussion on purchasing club property; Probate Judge John Jackson of Boise on delinquencies
March 2, 1929: America the Beautiful sung; motion passed to have representative from Children's Home of Boise come talk with the club; financial reports from the various committees; the Building committee discusses property purchasing options including Interurban Depot, nothing decided; Village Improvement Committee to call meeting to discuss Meridian clean up; Girl Reserves' Mother-Daughter banquet discussed; Library report given (800 books given out in Jan., 634 in Feb.); Miss Helen Flack gives discussion on her trip to Europe last summer
April 6, 1929: America the Beautiful sung; two club committees met together and discussed upcoming councilman election, they endorse Mr. Hoseley and Mr. Riddle, clob passed motion to endorse as well; committee reports given; Mrs. Jessie Bell chairman of Americanization Committee urged all members to register and vote in city election; nomination of occident club officers for the coming year; financials discussed; Mr. E.R. Bennett from the University of Idaho presents talk on landscaping
May 4, 1929: America the Beautiful sung; library reports 17 new volumes with 200 to 300 books given out each week; Americanization chairman thank club for voting at a nearly 100% rate the last election; motion for club to pay advertising bill for Clean Up Week; club gets involved in influencing choices for the Idaho state bird; Officers selected for the next year include Mary French as president; club delegates elected to attend Federation convention; program by W.J. Lockwood of Boise Chamber of Commerce discusses Americanization Citizenship
June 27, 1929: Annual picnic held; begun by singing America the Beautiful; motion carried that new club historians should hold position for one year; Mrs Maleer scolds club members for not reading ""worthwhile books"" that could be housed at the library; motion passed that July and August meeting be combined into one on August 1st; list of visitors at picnic attached to minutes; Village Committee report attached to minutes; 
August 1, 1929: President appoints given members to the various committees for the next year; female presidents of the Century Club of Nampa and the Improvement Club of Kuna address the club for their program
September 7, 1929: America the Beautiful sung; club accepts invitation of the Columbian Club of Boise for luncheon; financial reports given; club constitution and by-laws read
October 5, 1929: Financial reports given; prizes for Vegetable, Fruit, and Flower show discussed; Building Committee announces a dance to be given on Oct 11; club votes to purchase Interurban Building, with 22 votes for and 1 against; Vote commenced on what bid to place on the building, with $1000 big carrying the votes; Building Committee advised to bid higher if their judgement sees fit; library report on number of books donated; reading of revised constitution and by-laws, with revisions passed; suggestion to donate fruit to Children's Home instead of money this year; Mrs. Youngquist presents talk on ""Benefit of a Civic Club to a Community""
October 12, 1929: Special meeting between Executive Board and Building Committee on how to purchase the Interurban Building; $1000 offer rejected, told $1205 was the least amount they would accept as that was the property value; value to stay at that rate for a few weeks; Building Committee recommends that Occident Club purchase building for $1205 and the Executive Board agrees
October 14, 1929: Special meeting of Occident Club members to discuss plans to buy the Interurban Building for club use and library building; carpenter report of examined building shows it in good condition and carpenters would donate work if bought; Building and Loan Company to loan $1000 at 8%; club agrees to buy Interurban Building at price of $1205; Moved that club draws up articles of incorporation, as they must incorporate to buy building; 
November 2, 1929: Recap of committee budgets allocated to pay the additional money for the building purchase; decision for club members to look into a Cemetery District to take charge looking after the cemetery
December 7, 1929: America the Beautiful sung; financial reports given; Mrs. Koger urges members to help Building committee raise funds; Mrs. Jackson of Building committee called on each member to pledge $10 to repairs on the building, and it was moved that each member strive to earn that money next year; 50 pounds of coffee donated by Davidson Grocery Company of Boise to sell and put proceeds to the building fund",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1929, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_7,col002_ocminutes_1930.pdf,Occident Club Meeting Minutes 1930,Meridian Occident Club,1930,"January 4, 1930: Roll call answered with ""Prominent women of Foreign Countries""; Letters read from those who donated to library building; financial reports; list of members of Occident club 1929-1930 attached
February 1, 1930: Mrs. Maleer donates a three year fire insurance plan; discussion on signing contract for a play; financial reports; discussion on borrowing money for library building repairs; Mayor Cato discusses drainage problem; club agrees to everybody voting in next civic election
March 1, 1930: Roll call answered with favorite Bible verse; report that deed to library building recorded; final check for library purchase given; fundraising benefits for increasing building committee funds discussed; librarian report; motion carried that members memorize ""America the Beautiful""; nomination of next year's club officer to be held next meeting; more members added to Village Improvement Committee to help upkeep grounds around library
April 5, 1930: Discussion of annual State Federation of Women's Clubs meeting; Building Committee to receive one half of proceeds from picture show April 11th and 12th; March financial collections report; club moves Park Fund into the building fund; Vote of 26 to 7 to finish the Club building now; financial reports; discussion on women in the legislature and club favoring the idea of women as politicians; nominations for new officers held
April 25, 1930: Occident Club Board of Directors meets; funds to pay for work on the library building (plastering lumber, etc) discussed and approved by board; contract bids for finishing the library discussed; decided to appoint committee to make sure building contract is fulfilled
May 3, 1930: Discussion on federating, moved that the club does not federate this year; financial reports; changes in bylaws made and carried by 2/3 vote; election of officers held-several names were withdrawn and Tessie Davidson being only President nomination was unanimously voted in; list of officers elected provided
June 12, 1930: Board of directors meeting; bills for carpentry work read and moved to pay; payment also made for sanding of floors and other repairs; payment of all bills made that can be made at the time
June 24, 1930: Annual club picnic held; new delegate to the District Federation meeting; Gem State Lumber Company donates to the building fund; paint for the outside of the library also donated; motion carried that the board of directors should finalize the contract for finishing the building; resolutions passed at District Federation meeting read; Outgoing president Mrs. French reads 2 year report of her presidency; motion carried to hold reception for all who aiding in building and furnishing library building; committee member lists provided for next year; motion carried to thank Meridian City Council for use of their rooms for the library over the past few years; Building committee assigned to select curtains for club house windows
July 11, 1930: Club committee reports; work on clubhouse grounds moving forward; Vote of thanks given to ladies who washed club house windows; Mrs. Raines and Cato asked to place locks on library windows; building fund financials provided
August 1, 1930: Boise Sash and Door Factory to donate rods for the library curtains; Mr. Rice furnished paint and painted the curtain rods; committee reports; Mrs. Cato donates chair to library; discussion and motion carried to have concession stand at fair; building fund expenses listed
August 12, 1930: Special meeting to discuss concessions at the fair; four sacks of flour donated for pie making; Creamery to donate 15 gallons of ice cream each day; moved to serve chicken sandwiches the first day of fair; if cheese donated also serve cheese sandwiches; each member asked to make two pies for first day; fair work schedule decided
August 30-1930: Previous bills presented; portfolio of the club activities presented; planning ongoing for the fruit, vegetable and flower show; plans completed to furnish pies at the fair; motion to serve concessions Monday and Tuesday during the fair; also moved to serve breakfast at the fairgrounds
October 4, 1930: Occident club meets in the new club house; bills presented and dealt with; fair concessions reported successful; school fruits, vegetables and flower show display a success and president appoints Mrs. and Mr. Allen to craft rules and regulations to make rules and regulations to govern the annual affair;  discussion of thanks and thank you letters for those continuing to assist new clubhouse and club's needs; 
Nov 1, 1930: Boise Chamber of Commerce requests women's organizations to create a full page advertisement urging house wifes to patronize home industries with a $10 prize for the selected ad; president assigns task of ad; 200 volumes reported donated to the library since last month, with about 100 books loaned each day; motion carried to rent their clubhouse to outside (non-club) party use; motion carried for Occident Club to support Red Cross work; Sampson Music Company offers suggestions for club piano, president and others to consider offers
December 6, 1930: Barn dance scheduled; piano committee reports on the various offers and motion carried to allow committee to purchase piano; Mrs. Maleer pushes need for children's books in library, a committee appointed to raise funds for said books; motion for club to care for one needy family for Christmas needs",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1930, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_8,col002_ocminutes_1931.pdf,Occident Club Meeting Minutes 1931,Meridian Occident Club,1931,"January 3, 1931: Financial bills presented; $50.30 made at barn dance and $60 for serving lunch at creamery meeting; Mrs. Barker reported library in need of supplies and books; Quilt sale and card party money to go to the library; club finalized purchase of piano for $160; welfare committee prepared boxes for nine needy families; Mrs. Miller presented a paper on ""Women's movements in France""
February 7, 1931: Part of new library books received; 22 children's books received and all loaned immediately; city council decides club need not pay for water used inside building, only water for lawn care; report of money made at previous Christmas Seal sales; Mrs. Youngquist, chairman of legislative committee, praises women in the legislature and wants women in the Senate for another term; new piano discussed; Mrs. Songer presents paper on ""More recent Developments in India"" highlighting difficulties India needs to overcome; club discusses official club flower; bills discussed 
February 13, 1931: Special board of directors meeting discussing financial matters
March 1, 1931:Club president Mrs. Davidson thanked for the use of her barn for dances; landscaping of park around club home; library reports on books donated; 23 volumes of children's books worn beyond repair and discarded; about 1000 library books loaned per month, club bills read
April 4, 1931: Ballots for nomination of club officers distributed; announcement that Second District of the Federation of Women's Clubs convention to be held in May in Gooding and club elected their delegates to attend; rules governing fruit, flower, and vegetable show read and accepted by club
May 2, 1931: Club made money from sponsoring of a picture show; some changes in delegates to the Federation convention; committee formed to investigate if club should sponsor the organization of a kindergarten in the town; magazine subscription committee update; club house repairs and needs discussed; motion carried to revise the by-laws regarding club elections; nominations for club officers announced; Mrs. Baldwin elected club president; Mrs Barker announces she must discontinue librarian work; discussion on charging 10 cents for grade school children loan cards and 25 cents for high school student cards; motion carried that a committee be created to ask city council for a one mill ($1000) levy in budget for the library; club financials listed
June 24, 1931: Annual club picnic; new club by-laws unanimously accepted and adopted; an auditor report of the club read and accepted; report given on recent Federation convention; Mrs. Younquist provided a history of the club since its founding; Mrs. French reported that for library to get levy it must be voted on by citizens during next regular election; committee decides not advisable to organize a kindergarten at this time; Federation magazine subscriptions discussed; Mrs. Maller announces she will be unable to continue at library; library report on number of books followed by vote of thanks for Maleer; motion carried that 10 cents be charged for children loan cards and 25 cents charged for loan cards to high school students and adults; new club officers take over and retiring president (Davidson) presented with flowers; Mrs. Orpha Baldwin, new president, appoints the committee organization for next club year; 
July 9, 1931: Urgent toilet repair at club house needed; building committee to take charge of concessions at fair; club house committee appointed to take car of renting and other building issues; library report given
August 5, 1931: Library report; fair concessions discussed; special visitor Maude Cosho, Idaho state legislator, talked on ""Women in Politics"" for the program; general financials of club listed in minutes
August 29, 1931: Announces next meeting as Home Products and Guest Day--bring a guest to the meeting and a home product to be sold for library fund; international books donated to the library; fair concession stand preparations complete
October 6, 1931: Mrs Davidson moves wife of new Methodist minister and the wife of the Christian minister as two honorary club members, motion carried; Home products sold during club meeting for library fund; list of the new library book titles; money made at fair concessions reported; club to put on a play at Meridian High School; Mrs French, Younquist, and Davidson to see what City Council would do to support library; Mrs. Raines and her committee to hold runage sales during the winter; for the program Mrs French presented a history of Meridian, Idaho
November 7, 1931: Various committee reports; list of book titles received during the previous month; building repair costs; special guests discuss the work of the Red Cross; Mrs. Younquist suggests in next state election Idaho should abolish either the State Superintendent of Public Instruction or the commissioner of Education; report that city council could not give anything toward maintaining the library at the current time; general financial report included with minutes 
December 5, 1931: Club begins by singing ""Our Idaho""; committee reports; Motion carried to have a Washington birthday banquet, date TBD; club, communication read saying that as a non-profit the club is exempt from income tax; motion carried to sponsor programs at a Nampa broadcasting stations as a means of advertising the Occident Club; a committee appointed to arrange the sponsored broadcasting programs;  ",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1931, Meridian Library District History Center",,text,application/pdf,eng,,
col002_oc_9,col002_ocminutes_1932.pdf,Occident Club Meeting Minutes 1932,Meridian Occident Club,1932,"January 2, 1932: Mrs Cato's committee has mended 30 library books; programs laid out for next two months; motion to have Miss Tobias come to an open meeting to discuss gardening and landscaping when it could meet her schedule
February 6, 1932: Library data report; Treasurer reports on general funds; broadcasting report; screens to be made for back of club room; roof of clubhouse temporarily fixed, but needs to be raised and fixed properly; demonstrations schedules to teach lamp-shade and rug making; two papers presented on ""international relationship[s]""
March 5, 1932: Committee reports and report on bills; club volunteers requested for book mending; details of Meridian Business Women's Club International Relations dinner announced; scheduled demonstration on interior decorations announced
April 3, 1932: Library report on funds and mended books and other committee reports; get out and vote the next election; clubhouse roof badly leaked during spring shower ruining books, curtains, etc; motion carried to accept $38 cost for roof; delegates selected for Federation of Women's Clubs convention; April 9th flower program announced; program by Miss Minyard of the University Extension Department
May 7, 1932: Committee reports; Motion carried to pay interest on building mortgage; communications committee shares letter from Rep. Maude Cosho about women serving on juries (Cosho was pursuing legislation to allow for women to be on juries); all club members believe it their duty to serve on juries if called; Mrs. Dodds reports May programing will be last of radio programs; election nomination selected for each office, since only one nominated for each office they were elected unanimously; new club president to be Nina Egbert;  Mrs. Athey presented a talk on the work done for those with ""T.B."" (tuberculosis); Mrs. Davidson selected to be club auditor for the yearly audit; Red Cross report; program consisted of music and a book review
June 9, 1932: Annual club picnic; library report; American Citizenship committee announced they will do the club's July program; auditor report accepted by club; Mrs. French discussed the duties of the club historian and motion that a club history book be purchased
July 19, 1932: Various committee reports; motion carried to continue charging for library cards; Mrs. Younquist discusses the Red Cross; Mrs. Baldwin of Building Committee charged with determining if the club would have a booth at the fair; committee made to amend the club by-laws
August 13, 1932: Committee reports; Mrs. Youngquist of the Boise Red Cross spoke on a plan to establish a local (Meridian) branch of the Red Cross to help with welfare work, the Occident Club supported this by a carried motion; library report
September 10, 1932: Committee reports; fair concessions; motion carried that the older reference books from the library be given to rural schools, if they desired them; the Civic Welfare committee reports civic and church organizations did not desire to have a Red Cross chapter acquired; report on flower and vegetable show
October 1, 1932: Civic Welfare Committee seeks material from members to make quilts for needy families; Flower, Fruit and Vegetable Exhibit report; program on women getting involved in politics, looking to the welfare of the people, and getting out to vote.
November 5, 1932: Committee reports; Legislative Committee reads a list of amendments to be voted on at the coming election; reference work presented to the library; library still seeks to get old reference books to rural schools; Mrs. Allison of Harmony Club discussed importance of efforts to keep telephone and electricity rates lowered so they could be within consumer reach; motion carried that the club should join with other clubs in an effort to get these utility rates lowered, and a committee was created for this purpose; program of reading and music 
December 3, 1932: Library reports new Carnegie books on the shelf and suggests purchase of more fiction books, and the club approved; motion carried for the club to cooperate with the city to have a charity ball; program by Miss Minyard on selecting garments and making garments, as well as covering the subject of remodeling; musical program and book review followed  ",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, Idaho",43.6094542,-116.3931117,"Occident Club Minutes Folder 1932, Meridian Library District History Center",,text,application/pdf,eng,,
